iter	Passed	Remaining
480	639	689
481	640	688
482	641	686
483	642	684
484	643	683
485	644	681
486	645	679
487	646	678
488	647	676
489	648	675
490	649	673
491	650	672
492	651	670
493	652	668
494	653	667
495	654	665
496	655	663
497	656	661
498	657	660
499	658	658
500	659	657
501	660	655
502	661	654
503	663	652
504	664	650
505	665	649
506	666	647
507	667	646
508	667	644
509	668	642
510	669	641
511	670	639
512	671	637
513	672	636
514	674	634
515	675	633
516	676	632
517	677	630
518	679	629
519	680	627
520	681	626
521	682	624
522	683	622
523	684	621
524	685	619
525	686	618
526	687	616
527	688	615
528	689	613
529	690	611
530	691	610
531	692	608
532	693	607
533	694	605
534	694	604
535	695	602
536	697	600
537	698	599
538	699	597
539	700	596
540	701	594
541	702	593
542	703	591
543	704	590
544	705	588
545	706	587
546	707	585
547	708	584
548	709	582
549	710	581
550	711	579
551	712	578
552	713	576
553	714	575
554	715	573
555	716	572
556	717	570
557	718	569
558	719	567
559	720	566
560	721	564
561	722	563
562	724	562
563	725	560
564	726	559
565	727	558
566	729	556
567	730	555
568	731	553
569	732	552
570	733	550
571	734	549
572	735	547
573	736	546
574	737	544
575	737	543
576	738	541
577	739	540
578	740	538
579	741	537
580	742	535
581	743	534
582	744	532
583	745	531
584	746	529
585	747	528
586	748	526
587	749	525
588	750	523
589	751	522
590	752	520
591	753	519
592	754	518
593	755	516
594	756	515
595	757	513
596	758	512
597	759	510
598	760	509
599	761	507
600	762	506
601	763	504
602	764	503
603	765	501
604	766	500
605	767	499
606	768	497
607	769	496
608	770	494
609	771	493
610	772	491
611	773	490
612	774	489
613	775	487
614	776	486
615	778	485
616	779	483
617	780	482
618	780	480
619	781	479
620	782	477
621	783	476
622	784	474
623	785	473
624	787	472
625	788	471
626	789	469
627	791	468
628	792	467
629	793	466
630	794	464
631	795	463
632	796	461
633	797	460
634	798	459
635	799	457
636	800	456
637	801	455
638	802	453
639	803	452
640	804	450
641	805	449
642	806	447
643	807	446
644	808	445
645	809	443
646	810	442
647	811	441
648	812	439
649	813	438
650	815	436
651	816	435
652	817	434
653	818	433
654	819	431
655	820	430
656	821	428
657	822	427
658	823	426
659	824	424
660	825	423
661	826	421
662	827	420
663	828	419
664	829	417
665	830	416
666	831	415
667	832	413
668	833	412
669	834	411
670	835	409
671	836	408
672	837	406
673	838	405
674	839	404
675	840	402
676	841	401
677	842	400
678	843	398
679	844	397
680	845	396
681	846	394
682	847	393
683	848	392
684	849	390
685	850	389
686	851	388
687	852	386
688	853	385
689	854	383
690	855	382
691	856	381
692	857	380
693	859	378
694	860	377
695	861	376
696	862	374
697	863	373
698	864	372
699	865	371
700	866	369
701	868	368
702	869	367
703	870	366
704	871	364
705	872	363
706	874	362
707	875	361
708	876	359
709	877	358
710	878	357
711	879	355
712	881	354
713	882	353
714	883	352
715	885	351
716	886	349
717	887	348
718	888	347
719	890	346
720	891	344
721	892	343
722	893	342
723	894	340
724	895	339
725	896	338
726	897	336
727	898	335
728	899	334
729	900	333
730	901	331
731	902	330
732	903	329
733	904	327
734	905	326
735	906	325
736	907	323
737	908	322
738	909	321
739	910	319
740	911	318
741	912	317
742	914	316
743	916	315
744	918	314
745	919	312
746	920	311
747	921	310
748	922	309
749	923	307
750	924	306
751	925	305
752	926	304
753	927	302
754	928	301
755	930	300
756	931	299
757	932	297
758	933	296
759	934	295
760	935	293
761	936	292
762	937	291
763	938	289
764	939	288
765	940	287
766	942	286
767	943	284
768	944	283
769	945	282
770	946	281
771	947	279
772	948	278
773	949	277
774	950	275
775	951	274
776	952	273
777	953	271
778	954	270
779	955	269
780	956	268
781	957	266
782	958	265
783	959	264
784	960	263
785	962	261
786	963	260
787	965	259
788	966	258
789	967	257
790	968	255
791	970	254
792	971	253
793	972	252
794	974	251
795	975	249
796	976	248
797	977	247
798	978	246
799	980	245
800	981	243
801	982	242
802	983	241
803	985	240
804	986	238
805	987	237
806	988	236
807	990	235
808	991	234
809	992	232
810	994	231
811	995	230
812	996	229
813	997	227
814	998	226
815	999	225
816	1001	224
817	1002	222
818	1003	221
819	1004	220
820	1006	219
821	1007	218
822	1008	216
823	1010	215
824	1011	214
825	1012	213
826	1014	212
827	1015	210
828	1016	209
829	1018	208
830	1019	207
831	1020	206
832	1021	204
833	1022	203
834	1023	202
835	1025	201
836	1026	199
837	1027	198
838	1028	197
839	1029	196
840	1030	194
841	1032	193
842	1033	192
843	1035	191
844	1036	190
845	1037	188
846	1038	187
847	1039	186
848	1041	185
849	1042	183
850	1043	182
851	1044	181
852	1046	180
853	1047	179
854	1048	177
855	1049	176
856	1050	175
857	1051	173
858	1052	172
859	1052	171
860	1054	170
861	1055	168
862	1056	167
863	1057	166
864	1058	165
865	1059	163
866	1060	162
867	1061	161
868	1062	160
869	1063	158
870	1064	157
871	1065	156
872	1066	155
873	1067	153
874	1068	152
875	1069	151
876	1070	150
877	1071	148
878	1072	147
879	1073	146
880	1074	145
881	1074	143
882	1076	142
883	1077	141
884	1078	140
885	1079	138
886	1079	137
887	1080	136
888	1082	135
889	1083	133
890	1084	132
891	1085	131
892	1086	130
893	1087	128
894	1088	127
895	1089	126
896	1090	125
897	1091	123
898	1092	122
899	1093	121
900	1094	120
901	1095	118
902	1096	117
903	1097	116
904	1098	115
905	1099	114
906	1100	112
907	1101	111
908	1102	110
909	1103	109
910	1104	107
911	1105	106
912	1106	105
913	1107	104
914	1108	102
915	1109	101
916	1110	100
917	1111	99
918	1112	98
919	1113	96
920	1114	95
921	1115	94
922	1116	93
923	1117	91
924	1118	90
925	1119	89
926	1120	88
927	1121	87
928	1122	85
929	1123	84
930	1124	83
931	1125	82
932	1126	80
933	1127	79
934	1128	78
935	1129	77
936	1130	76
937	1131	74
938	1132	73
939	1133	72
940	1134	71
941	1135	69
942	1136	68
943	1137	67
944	1138	66
945	1140	65
946	1141	63
947	1142	62
948	1143	61
949	1144	60
950	1145	59
951	1146	57
952	1147	56
953	1148	55
954	1149	54
955	1150	52
956	1152	51
957	1153	50
958	1154	49
959	1155	48
960	1156	46
961	1157	45
962	1158	44
963	1159	43
964	1160	42
965	1161	40
966	1162	39
967	1163	38
968	1164	37
969	1165	36
970	1166	34
971	1167	33
972	1168	32
973	1169	31
974	1170	30
975	1171	28
976	1172	27
977	1173	26
978	1174	25
979	1175	23
980	1176	22
981	1177	21
982	1178	20
983	1179	19
984	1180	17
985	1181	16
986	1182	15
987	1183	14
988	1184	13
989	1185	11
990	1186	10
991	1187	9
992	1189	8
993	1190	7
994	1191	5
995	1192	4
996	1193	3
997	1194	2
998	1195	1
999	1196	0
